plot.name,burn.year,previous.burn.year,CNFDB.id,ecoregion,moisture,slope,Dom,age,burn.depth,dom.prop
SS033-011A,2014,pre-1965,2014SS-003,plains,subhygric,0,Other,67,8.537312917,other
SS033-011B,2014,pre-1965,2014SS-003,plains,mesic-subxeric,0,Pima,163,10.54533351,pima
SS033-001A,2014,pre-1965,2014SS-003,plains,xeric,12,Piba,171,4.79,piba
SS033-001B,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,171,14.93582372,pima
SS033-001C,2014,pre-1965,2014SS-003,plains,subhygric,0,Pima,171,13.6040572,pima
SS033-021A,2014,1980,1980HY-037,plains,mesic-subxeric,0,Other,66,10.12929509,other
SS033-021B,2014,1980,1980HY-037,plains,mesic,0,Pima,66,6.558540639,other
SS033-025A,2014,1980,1980HY-037,plains,subhygric,0,Other,79,10.76117276,other
SS033-027A,2014,1980,1980HY-037,plains,subhygric,0,Other,41,10.38781457,other
SS033-027B,2014,1980,1980HY-037,plains,mesic,0,Pima,74,12.83736472,pima
SS033-027C,2014,pre-1965,2014SS-003,plains,mesic-subhygric,0,Pima,74,10.7208118,pima
SS033-003A,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,90,9.532622779,pima
SS033-003B,2014,pre-1965,2014SS-003,plains,mesic-subxeric,0,Pima,232,14.99355462,pima
SS033-003C,2014,pre-1965,2014SS-003,plains,mesic-subhygric,0,Pima,232,15.12761704,pima
SS033-004A,2014,pre-1965,2014SS-003,plains,mesic-subhygric,0,Pima,105,6.82978898,pima
SS033-004B,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,105,8.180999047,pima
SS033-582A,2014,pre-1965,2014SS-003,plains,subxeric,0,Pima,120,7.559984472,other
SS033-582B,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,120,7.534898621,piba
SS033-006A,2014,pre-1965,2014SS-003,plains,mesic-subhygric,0,Pima,169,13.84292369,pima
SS033-006B,2014,pre-1965,2014SS-003,plains,mesic-subxeric,0,Pima,129,8.667884961,pima
SS033-006C,2014,pre-1965,2014SS-003,plains,subhygric,0,Pima,72,6.778434066,other
SS033-877B,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,118,7.61659216,pima
SS033-009A,2014,pre-1965,2014SS-003,plains,mesic-subhygric,0,Pima,90,8.199067063,pima
SS033-009B,2014,pre-1965,2014SS-003,plains,subxeric,0,Pima,93,7.827880837,pima
SS033-009C,2014,pre-1965,2014SS-003,plains,mesic,0,Pima,164,14.64108797,pima
ZF104-107A,2014,1973,1973ZF-062,shield,mesic,0,Pima,56,9.051321732,pima
ZF104-107B,2014,1973,1973ZF-062,shield,xeric,0,Piba,56,5.59,piba
ZF104-110A,2014,1973,1973ZF-062,shield,subhygric,0,Pima,56,9.998296564,pima
ZF104-110B,2014,1973,1973ZF-062,shield,xeric,0,Piba,47,4.44,piba
ZF104-012B,2014,pre-1965,2014ZF-104,shield,subhygric,0,Pima,150,11.26559408,pima
ZF104-022A,2014,pre-1965,2014ZF-104,shield,xeric,0,Piba,62,3.99,piba
ZF104-022B,2014,pre-1965,2014ZF-104,shield,subhygric,0,Pima,138,9.657449517,pima
ZF104-026A,2014,pre-1965,2014ZF-104,shield,subhygric,0,Pima,162,11.27012404,pima
ZF104-026B,2014,pre-1965,2014ZF-104,shield,xeric,9,Pima,162,12.71614228,other
ZF104-004A,2014,pre-1965,2014ZF-104,shield,xeric,11,Pima,130,9.776908659,pima
ZF104-004B,2014,pre-1965,2014ZF-104,shield,subhygric,0,Pima,164,9.417610859,pima
ZF104-057A,2014,1973,1973ZF-050,shield,xeric,0,Piba,37,5.44,other
ZF104-057B,2014,1973,1973ZF-050,shield,subhygric,0,Pima,104,7.407118585,other
ZF104-058A,2014,1973,1973ZF-050,shield,xeric,0,Piba,38,4.74,piba
ZF104-062A,2014,1973,1973ZF-050,shield,xeric,11,Piba,38,6.09,piba
ZF104-063A,2014,1973,1973ZF-050,shield,xeric,0,Piba,40,5.14,piba
ZF104-063B,2014,1973,1973ZF-050,shield,mesic-subhygric,0,Pima,40,7.955595691,other
ZF104-065A,2014,1973,1973ZF-050,shield,xeric,4,Pima,38,5.741418962,other
ZF104-065B,2014,1973,1973ZF-050,shield,subhygric,0,Pima,111,11.61407898,pima
ZF104-079A,2014,1973,1973ZF-062,shield,subxeric,29,Pima,50,10.60326609,other
ZF104-079B,2014,1973,1973ZF-062,shield,mesic-subhygric,0,Pima,143,13.05311093,pima
ZF104-083A,2014,1973,1973ZF-062,shield,subxeric,0,Piba,54,3.92,piba
ZF104-083B,2014,1973,1973ZF-062,shield,mesic,0,Pima,54,13.75918188,pima
ZF020-010A,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,84,5.31217084,pima
ZF020-010B,2014,pre-1965,2014ZF-020,plains,xeric,0,Pima,84,4.830952526,pima
ZF020-010C,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,84,7.755375908,pima
ZF020-011A,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,83,4.431805759,other
ZF020-011B,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,83,7.70670492,other
ZF020-011C,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,83,9.131329979,pima
ZF020-125A,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,81,12.07662113,other
ZF020-125B,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,81,7.827844625,pima
ZF020-125C,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Piba,81,3.34,other
ZF020-012A,2014,pre-1965,2014ZF-020,plains,xeric,0,Piba,73,0,piba
ZF020-012B,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,73,6.927808413,pima
ZF020-034A,2014,pre-1965,2014ZF-020,plains,xeric,0,Piba,87,4.94,piba
ZF020-034B,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,87,6.707842563,pima
ZF020-034C,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,87,7.232943402,pima
ZF020-035A,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,95,9.735823723,other
ZF020-035B,2014,pre-1965,2014ZF-020,plains,mesic,0,Piba,95,6,piba
ZF020-040A,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,167,11.59359083,pima
ZF020-040B,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,167,10.95080974,pima
ZF020-040C,2014,pre-1965,2014ZF-020,plains,xeric,0,Pima,167,10.61986553,pima
ZF020-043A,2014,pre-1965,2014ZF-020,plains,xeric,0,Piba,74,4.44,other
ZF020-043B,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,74,5.284556825,pima
ZF020-043C,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,74,10.09262896,pima
ZF020-004A,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,150,11.51428066,pima
ZF020-004B,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,91,8.143022011,other
ZF020-052A,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,93,5.162455251,pima
ZF020-052B,2014,pre-1965,2014ZF-020,plains,xeric,0,Pima,93,6.388161124,pima
ZF020-052C,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,93,6.412051896,pima
